brand,name,category,color_family,undertone,finish,price
Rare Beauty,Soft Pinch Hope,Blush,Mauve,Neutral,Dewy,25.00
e.l.f.,Camo Dusty Rose,Blush,Mauve,Neutral,Dewy,7.00
Milani,Cheek Kiss Nude Flush,Blush,Mauve,Warm,Dewy,11.00
NYX,Sweet Cheeks Rose,Blush,Pink,Neutral,Matte,9.50
Maybelline,Cheek Heat Nude Burn,Blush,Mauve,Warm,Dewy,8.00
Rare Beauty,Soft Pinch Joy,Blush,Peach,Warm,Dewy,25.00
e.l.f.,Camo Coral Crush,Blush,Peach,Warm,Dewy,7.00
Milani,Baked Blush Luminoso,Blush,Peach,Warm,Satin,12.00
Fenty Beauty,Gloss Bomb Fenty Glow,Lip Gloss,Nude,Neutral,Glossy,21.00
Maybelline,Lifter Gloss Stone,Lip Gloss,Nude,Neutral,Glossy,10.00
NYX,Butter Gloss Praline,Lip Gloss,Nude,Warm,Glossy,6.50
e.l.f.,Glow Reviver Rose Envy,Lip Gloss,Pink,Cool,Glossy,8.00
NARS,Radiant Creamy Custard,Concealer,Beige,Neutral,Natural,32.00
Maybelline,Fit Me 20 Sand,Concealer,Beige,Neutral,Natural,9.00
e.l.f.,Hydrating Camo Medium Sand,Concealer,Beige,Neutral,Matte,7.00
NYX,Bare With Me Beige,Concealer,Beige,Warm,Natural,12.00
